Вкажіть тип фінансового звіту, який заповнюєте;Область;Вкажіть назву партії;Чи подано звіт?;Дата подання фінансового звіту партією;Власні кошти місцевої організації партії;Внески кандидатів, включених до виборчого списку;Добровільні внески фізичних осіб;"Надходження коштів від осіб, не визначених у частині першій статті 72 Закону України ""Про місцеві вибори"" (юридичні особи, громадські організації тощо)";Помилкові надходження коштів;Усього надійшло коштів на накопичувальний рахунок виборчого фонду;Повернення добровільних внесків фізичним особам (загальна сума);Перерахування коштів до бюджетів (загальна сума);Повернення помилкових надходжень коштів;Банківські послуги, які не повязані з відкриттям і закриттям рахунку та його функціонуванням;Публікування реквізитів накопичувального рахунку в друкованих ЗМІ;Усього перераховано коштів з накопичувального рахунку виборчого фонду;Загальний розмір виборчого фонду;Усього надійшло коштів на поточний рахунок виборчого фонду;Виготовлення матеріалів передвиборної агітації (загальна сума);Виготовлення друкованих матеріалів (плакатів, листівок, буклетів та інших агітаційних матеріалів);Виготовлення відеозаписів;Виготовлення аудіозаписів;Виготовлення предметів, матеріалів (сувенірів, канцтоварів тощо)  з використанням прізвищ чи зображень (портретів) кандидатів;Придбання канцтоварів, паперу, інших предметів і матеріалів для виготовлення матеріалів передвиборної агітації;Використання засобів масової інформації (загальна сума);Оплата ефірного часу (загальна сума телебачення + радіо);Оплата ефірного часу на телебаченні;Оплата ефірного часу на радіо;Публікування агітаційних матеріалів у друкованих засобах масової інформації;Інші послуги, пов’язані з проведенням передвиборної агітації (загальна сума);Транспортні послуги для реалізації заходів передвиборної агітації;Оренда будинків і приміщень для проведення публічних дебатів, дискусій, круглих столів, прес-конференцій стосовно положень передвиборної програми кандидата, а також для виготовлення матеріалів передвиборної агітації;Оренда обладнання та технічних засобів для ведення передвиборної агітації;Оренда приміщень усіх форм власності для проведення зборів громадян та інших публічних заходів передвиборної агітації;Виготовлення (оренда) рекламних щитів;Виготовлення (оренда) агітаційних наметів;Послуги зв’язку (загальна сума);Послуги електричного зв’язку;Послуги поштового зв’язку;Інші витрати на агітацію;Сума витрат виборчого фонду (усього витрачено коштів з поточного рахунку);Залишок коштів на поточному рахунку виборчого фонду;;;;;;;;;;
остаточний;Волинська;ВО Батьківщина;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;0;488541,55;0;0;0;488541,55;0;0;0;0;0;0;488541,55;488381,55;249680,2;239680,2;10000;0;0;0;197852,26;0;92310,58;2010;103531,68;5112,09;0;0;0;330;0;0;0;0;4782,09;35737;488381,55;0;;;;;;;;;;
остаточний;Волинська;ВО Свобода;"подано неповний звіт (без додатків, ""розшифровок"")";2016-01-23;0;296538,69;12070,35;0;0;308609,04;0;0;0;0;0;0;308609,04;308609,04;48865;-1;-1;-1;-1;-1;257159,79;-1;-1;-1;-1;2500;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;308524,79;84,25;;;;;;;;;;
остаточний;Волинська;Громадянська позиція;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;2370;77866,2;21550;0;0;101786,2;0;0;0;0;0;0;101786,2;101786,2;66490;-1;-1;-1;-1;-1;9663,6;-1;-1;-1;-1;25630,11;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;101783,71;2,48;;;;;;;;;;
остаточний;Волинська;Народний контроль;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;162131;3650;0;0;0;165781;0;0;0;0;0;0;165781;165781;34775;-1;-1;-1;-1;-1;127245,58;-1;-1;-1;-1;3750;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;-1;10,42;;;;;;;;;;
остаточний;Волинська;Наш край;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;22800;414240;19800;0;0;456840;0;0;0;30,27;0;30,27;465809,73;465809,73;183712;-1;-1;-1;-1;-1;205582,02;-1;-1;-1;-1;5533,71;-1;-1;-1;-1;-1;-1;-1;-1;-1;61982;456809,73;0;;;;;;;;;;
остаточний;Волинська;Опозиційний блок;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-28;65562,5;0;0;0;0;65562,5;0;0;0;0;0;0;65562,5;65562,5;0;0;0;0;0;0;65519,1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;43,4;65562,5;0;;;;;;;;;;
остаточний;Волинська;Партія зелених України;подано повний звіт (Додатки 1-6);2015-10-30;0;9000;0;0;0;9000;0;0;0;0;0;0;9000;9000;3780;3100;0;0;0;680;3384,48;3084,48;3084,48;0;300;1835,52;0;0;1835,52;0;0;0;0;0;0;0;9000;0;;;;;;;;;;
остаточний;Волинська;Радикальна партія Олега Ляшка;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-28;0;242383,6;7230;0;730;250343,6;0;0;730;0;0;730;249613,6;249613,6;107317,6;-1;-1;-1;-1;-1;113941,6;-1;-1;-1;-1;28344;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;249603,2;10,4;;;;;;;;;;
остаточний;Волинська;Самопоміч;подано повний звіт (Додатки 1-6);2015-10-29;0;281099,11;67120;0;31672;379891,11;0;0;31672;0;0;31672;348219,11;348216,68;161105,26;161105,26;0;0;0;0;129889,42;46246,58;46246,58;0;83642,84;30296;0;0;7980;0;0;0;22316;22316;0;25896,4;347187,08;1029,6;;;;;;;;;;
остаточний;Волинська;УКРОП;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;3621597,44;0;0;0;0;3621597,44;0;0;0;0;0;0;3621597,44;3621597,44;1608179,4;-1;-1;-1;-1;-1;1709954,44;-1;-1;-1;-1;168303,6;-1;-1;-1;-1;-1;-1;-1;-1;-1;135160;3621597,44;0;;;;;;;;;;
остаточний;Дніпропетровська;БПП Солідарність;подано повний звіт (Додатки 1-6);2015-10-29;758572,2;1285070,26;537258,49;0;75798,6;2656699,55;0;0;75798,6;21;0;75819,6;2580879,95;2505184,4;1156221,53;728650;5000;0;422571,53;0;357354,33;273852,34;244476,34;29376;83501,99;412074;6162,5;15823,71;124791,59;0;264200;0;0;0;1096,2;559738,27;2485388,13;19796,27;;;;;;;;;;
остаточний;Дніпропетровська;Відродження;подано повний звіт (Додатки 1-6);2015-10-28;12464303,35;197395;0;0;0;12661698,35;0;0;0;0;0;0;12661698,35;12661698,35;3607861,44;3607861,44;255600;2520;0;0;4224730,37;3674552,04;2990054,44;684497,6;550178,33;339345,74;275383;0;0;4594,74;59368;0;0;0;0;4489760,8;12661698,35;0;;;;;;;;;;
остаточний;Дніпропетровська;Відродження України;подано повний звіт (Додатки 1-6);2015-10-30;0;0;0;312000;0;312000;0;0;0;0;0;0;312000;312000;34917;34917;0;0;0;0;268696,69;185805,85;54911,25;130894,6;82890,84;0;0;0;0;0;0;0;0;0;0;0;303613,69;8090,31;;;;;;;;;;
остаточний;Дніпропетровська;ВО Батьківщина;подано повний звіт (Додатки 1-6);2015-10-26;703340;0;0;0;0;703340;0;0;0;0;0;0;703340;703340;181836,44;178291,64;0;0;0;3544,8;500782,78;462524,28;404754,96;57769,32;38258,5;20720;0;0;0;0;20720;0;0;0;0;0;703339,22;0,78;;;;;;;;;;
остаточний;Дніпропетровська;ВО Свобода;подано повний звіт (Додатки 1-6);2015-10-28;86284,86;0;0;0;0;86284,86;0;0;0;0;0;0;86284,86;80000;8318;8318;0;0;0;0;46949,55;44068,3;30283,44;13784,86;2881,25;280;0;0;0;0;280;0;0;0;0;6100;61647,55;18352,45;;;;;;;;;;
остаточний;Дніпропетровська;Громадська сила;подано повний звіт (Додатки 1-6);2015-10-30;0;231225;0;0;0;231225;0;0;0;0;0;0;231225;231225;44473,23;44473,23;0;0;0;0;109026,04;87168;87168;0;21858,04;0;0;0;0;0;0;0;0;0;0;68300;221799,27;9425,73;;;;;;;;;;
остаточний;Дніпропетровська;Народний контроль;подано повний звіт (Додатки 1-6);2016-01-21;21216;8850;0;0;0;30066;0;0;0;0;0;0;30066;30066;17335;17335;0;0;0;0;12700,8;12700,8;12700,8;0;0;0;0;0;0;0;0;0;0;0;0;30;30065,8;0,2;;;;;;;;;;
остаточний;Дніпропетровська;Наш край;подано повний звіт (Додатки 1-6);2016-01-21;196068,4;3800;0;0;0;199868,4;0;0;0;0;0;0;199868,4;199868,4;73042;71582;1460;0;0;0;89446,4;62141,4;62141,4;0;27305;2520;0;2520;0;0;0;0;0;0;0;34860;199868,4;0;;;;;;;;;;
остаточний;Дніпропетровська;Опозиційний блок;подано повний звіт (Додатки 1-6);2015-10-30;15221400;816216,3;186866,88;0;0;16224483,18;2116;0;0;0;0;2116;16222367,18;16224483,18;739313,3;731113,3;8200;0;0;0;14880053,14;14692752,64;14692485,14;267,6;194300,5;605116,74;0;0;0;524,94;604591,8;0;0;0;0;0;16224483,18;0;;;;;;;;;;
остаточний;Дніпропетровська;Радикальна партія Олега Ляшка;подано повний звіт (Додатки 1-6);2015-10-30;0;357420;0;0;0;357420;0;0;0;0;0;0;357420;357420;16483;16483;0;0;0;0;84846,7;79434,1;79434,1;0;5412,6;4580,29;1370,29;3210;0;0;0;0;0;0;0;251510,01;357420;0;;;;;;;;;;
остаточний;Дніпропетровська;Самопоміч;подано повний звіт (Додатки 1-6);2015-10-31;361726,26;0;0;0;0;361726,26;0;0;0;0;0;0;361726,26;361726,26;204857,7;195174,7;0;0;9683;0;27473,4;0;21600;0;5873,4;14666;0;0;4200;266;0;10200;0;0;0;112200,84;359197,94;2528,32;;;;;;;;;;
остаточний;Дніпропетровська;Соціалісти;подано повний звіт (Додатки 1-6);2015-10-30;0;150000;122294;0;0;272294;72000;0;0;0;0;72000;200294;199046,4;86190;86190;0;0;0;0;106544;103344;103344;0;3200;3200;0;0;0;0;0;0;0;3200;0;2870;198804;242,4;;;;;;;;;;
остаточний;Дніпропетровська;УКРОП;подано повний звіт (Додатки 1-6);2016-01-21;975180;627659,5;32347,64;0;15996;1651183,14;0;0;15996;0;0;15996;1635187,14;1604134,45;747444,33;524321,15;0;0;223123,18;0;457402,62;387836,4;387836,4;0;69566,22;156250;0;0;0;0;156250;0;0;0;0;243037,5;1604134,45;0;;;;;;;;;;
остаточний;Житомирська;Аграрна партія України;подано повний звіт (Додатки 1-6);2015-10-30;475680,85;120190;0;0;0;595870,85;0;0;0;0;0;0;595870,85;595870,85;214890;214890;0;0;0;0;155123,28;98640;85680;12960;56483,28;157221,52;0;0;0;3871;153350,52;0;0;0;0;68636,05;595870,85;0;;;;;;;;;;
остаточний;Житомирська;БПП Солідарність;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;40200;694658,18;26450;0;1600;762908,18;0;0;1600;0;0;1600;761308,18;761308,18;365895,6;-1;-1;-1;-1;-1;226161,41;-1;-1;-1;-1;20100,81;-1;-1;-1;-1;-1;-1;-1;-1;-1;144960,96;757118,78;4189,4;;;;;;;;;;
остаточний;Житомирська;Відродження;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-26;163560;33000;0;0;0;196560;0;0;0;0;0;0;196560;196560;0;0;0;0;0;0;182544;148044;109860;38184;34500;0;0;0;0;0;0;0;0;0;0;14016;196560;0;;;;;;;;;;
остаточний;Житомирська;ВО Батьківщина;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-27;0;590700;153016,14;0;0;743716,14;4500;0;0;0;0;4500;739216,14;739216,14;320413,48;242373,48;0;0;78040;0;356412,03;252591,6;190737;61854,6;103820,43;14500;11500;0;0;600;0;0;2400;0;2400;47890,63;739216,14;0;;;;;;;;;;
