Вкажіть тип фінансового звіту, який заповнюєте;Область;Вкажіть назву партії;Чи подано звіт?;Дата подання фінансового звіту партією;Власні кошти місцевої організації партії;Внески кандидатів, включених до виборчого списку;Добровільні внески фізичних осіб;"Надходження коштів від осіб, не визначених у частині першій статті 72 Закону України ""Про місцеві вибори"" (юридичні особи, громадські організації тощо)";Помилкові надходження коштів;Усього надійшло коштів на накопичувальний рахунок виборчого фонду;Повернення добровільних внесків фізичним особам (загальна сума);Перерахування коштів до бюджетів (загальна сума);Повернення помилкових надходжень коштів;Банківські послуги, які не повязані з відкриттям і закриттям рахунку та його функціонуванням;Публікування реквізитів накопичувального рахунку в друкованих ЗМІ;Усього перераховано коштів з накопичувального рахунку виборчого фонду;Загальний розмір виборчого фонду;Усього надійшло коштів на поточний рахунок виборчого фонду;Виготовлення матеріалів передвиборної агітації (загальна сума);Виготовлення друкованих матеріалів (плакатів, листівок, буклетів та інших агітаційних матеріалів);Виготовлення відеозаписів;Виготовлення аудіозаписів;Виготовлення предметів, матеріалів (сувенірів, канцтоварів тощо)  з використанням прізвищ чи зображень (портретів) кандидатів;Придбання канцтоварів, паперу, інших предметів і матеріалів для виготовлення матеріалів передвиборної агітації;Використання засобів масової інформації (загальна сума);Оплата ефірного часу (загальна сума телебачення + радіо);Оплата ефірного часу на телебаченні;Оплата ефірного часу на радіо;Публікування агітаційних матеріалів у друкованих засобах масової інформації;Інші послуги, пов’язані з проведенням передвиборної агітації (загальна сума);Транспортні послуги для реалізації заходів передвиборної агітації;Оренда будинків і приміщень для проведення публічних дебатів, дискусій, круглих столів, прес-конференцій стосовно положень передвиборної програми кандидата, а також для виготовлення матеріалів передвиборної агітації;Оренда обладнання та технічних засобів для ведення передвиборної агітації;Оренда приміщень усіх форм власності для проведення зборів громадян та інших публічних заходів передвиборної агітації;Виготовлення (оренда) рекламних щитів;Виготовлення (оренда) агітаційних наметів;Послуги зв’язку (загальна сума);Послуги електричного зв’язку;Послуги поштового зв’язку;Інші витрати на агітацію;Сума витрат виборчого фонду (усього витрачено коштів з поточного рахунку);Залишок коштів на поточному рахунку виборчого фонду;;;;;;;;;;
остаточний;Запорізька;Аграрна партія України;"подано неповний звіт (без додатків, ""розшифровок"")";2015-11-01;364574,35;1920;0;0;0;366494,35;0;0;0;0;0;0;366494,35;366494,35;258882,26;-1;-1;-1;-1;-1;71940,57;-1;-1;-1;-1;35671,52;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;366494,35;0;;;;;;;;;;
остаточний;Запорізька;БПП Солідарність;подано повний звіт (Додатки 1-6);2015-10-31;0;609757,16;117006,04;0;21245;748068,2;0;0;21245;0;0;21245;726823,2;729421,8;248552,82;240874,82;0;0;7678;0;132386,78;46895,9;45908,4;987,5;85490,88;11091,6;5850;0;0;0;0;0;0;0;5241,6;333200;729421,8;0;;;;;;;;;;
остаточний;Запорізька;Відродження;подано повний звіт (Додатки 1-6);2015-10-30;565200;242740;1039449,52;0;0;1847389,52;39900;0;0;0;0;39900;1807489,52;1807489,52;693437,51;664094;28843,51;500;0;0;886670,16;670262,81;623206,81;47056;216407,35;205450,51;0;0;0;0;205450,51;0;16843,34;0;16843,34;5088;1807489,52;0;;;;;;;;;;
остаточний;Запорізька;ВО Батьківщина;подано повний звіт (Додатки 1-6);2015-10-30;263396;284510,55;470803,4;0;0;1018709,95;33540;0;0;0;0;33540;985169,95;716159,4;201486,2;182486,2;0;0;19000;0;424377,2;254752,2;242200,2;12552;169625;3700;0;1300;0;0;0;0;0;2400;0;86596;716159,4;0;;;;;;;;;;
остаточний;Запорізька;ВО Свобода;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;109855;480;1720;0;0;112055;0;0;0;0;0;0;112055;112055;6875,48;4154;0;0;0;2721,48;105179,52;105179,52;100686;4493,52;0;0;0;0;0;0;0;0;0;0;0;0;112055;0;;;;;;;;;;
остаточний;Запорізька;Наш край;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;3181058,9;53782;119278,2;0;0;3354119,1;0;0;0;0;0;0;3354119,1;3354119,1;629267,13;-1;-1;-1;-1;-1;1997730,5;-1;-1;-1;-1;15168,2;-1;-1;-1;-1;-1;-1;-1;-1;-1;711953,27;33354119,1;0;;;;;;;;;;
остаточний;Запорізька;Нова політика;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;0;5238;20734;0;3500;29472;0;0;3500;0;0;3500;25972;25972;17538;-1;-1;-1;-1;-1;8434;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;25972;0;;;;;;;;;;
остаточний;Запорізька;Опозиційний блок;подано повний звіт (Додатки 1-6);2015-10-31;8746000;0;0;0;0;8746000;0;0;0;0;0;0;8746000;8746000;3782646,38;2064416,38;15030;0;1702902,48;297,52;3479078,1;2184904,5;2131969,4;52935,1;1294173,6;31680,03;0;30480,03;1200;0;0;0;0;0;0;1413187,1;8706591,61;39408,39;;;;;;;;;;
остаточний;Запорізька;"Партія Сергія Тігіпка ""Сильна Україна""";"подано неповний звіт (без додатків, ""розшифровок"")";2016-01-25;250668,74;0;0;0;0;250668,74;0;0;0;0;0;0;250668,74;250668,74;118531,73;-1;-1;-1;-1;-1;108475,01;-1;-1;-1;-1;23662;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;250668,74;0;;;;;;;;;;
остаточний;Запорізька;Радикальна партія Олега Ляшка;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;0;382726;0;0;0;382726;0;0;0;0;0;0;382726;382726;361005,1;-1;-1;-1;-1;-1;21622,5;-1;-1;-1;-1;96,9;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;382724,5;1,5;;;;;;;;;;
остаточний;Запорізька;Самопоміч;подано повний звіт (Додатки 1-6);2015-11-01;859,65;18325;1307722;0;13000;1339906,65;0;0;13000;0;0;13000;1326906,65;1326905,78;285495;285245;0;250;0;0;738080,9;624241,2;582673,2;41568;113839,7;275249,88;0;0;0;4350;227627,8;0;43272,08;6000;37272,08;28080;1326905,78;0;;;;;;;;;;
остаточний;Запорізька;УКРОП;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;428000;3845;0;0;0;431845;0;0;0;0;0;0;431845;431845;210084;-1;-1;-1;-1;-1;224850,2;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;434934,2;365,8;;;;;;;;;;
остаточний;Івано-Франківська;БПП Солідарність;подано повний звіт (Додатки 1-6);2015-11-02;0;796503;289061,96;0;0;1085564,96;0;0;0;0;0;0;1085564,96;1085560;261859,16;261859,16;0;0;428;0;633331,92;0;426804,72;27928,2;178599;139528;0;0;0;0;82362;0;0;640;8646;45880;1080599,08;4960,92;;;;;;;;;;
остаточний;Івано-Франківська;ВО Батьківщина;подано повний звіт (Додатки 1-6);2016-01-22;0;208867;6784;0;0;215651;0;0;0;0;0;0;215651;215621;80260;80260;0;0;0;0;119122;119122;33335;4119;81668;15649;0;0;0;0;14900;0;749;0;749;0;215031;590;;;;;;;;;;
остаточний;Івано-Франківська;Воля;подано повний звіт (Додатки 1-6);2015-10-30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1025172,5;255933,38;255933,38;0;0;0;0;547854,02;404325,87;361915,57;42410,3;143528,15;211825,6;0;0;0;250;211575,6;0;0;0;0;4130;1019743;5429,5;;;;;;;;;;
остаточний;Івано-Франківська;Громадянська позиція;подано повний звіт (Додатки 1-6);2015-10-30;0;65910,2;0;0;0;65910,2;0;0;0;0;0;0;65910,2;65910,2;29849,2;29202;0;0;0;647,2;36169;0;18960;0;17209;0;0;0;0;0;0;0;0;0;0;0;66018,2;0;;;;;;;;;;
остаточний;Івано-Франківська;Народний контроль;подано повний звіт (Додатки 1-6);2015-10-29;138173,6;0;0;0;0;138173,6;0;0;0;0;0;0;138173,6;138173,6;2660;2660;0;0;0;0;135113,6;135113,6;125500;5793,6;3820;0;0;0;0;400;0;0;0;0;0;0;138173,6;0;;;;;;;;;;
проміжний;Івано-Франківська;Народний рух України;подано повний звіт (Додатки 1-6);2015-10-19;0;36175;0;0;0;36175;0;0;0;0;0;0;36175;36175;6216;-1;-1;-1;-1;-1;29636;23060;21260;1800;6576;200;0;200;0;0;0;0;0;0;0;0;36052;-1;;;;;;;;;;
остаточний;Івано-Франківська;Наш край;подано повний звіт (Додатки 1-6);2015-10-30;121542;0;0;0;0;121542;0;0;0;506,56;0;506,56;121035,44;121033,5;13000;13000;0;0;0;0;66633,5;0;40497;25744,5;392;0;0;0;0;0;0;0;0;0;0;41400;121033,5;0;;;;;;;;;;
остаточний;Івано-Франківська;Опозиційний блок;подано повний звіт (Додатки 1-6);2015-10-29;0;0;19805;0;0;19805;0;0;0;0;0;0;19805;19805;5250;5250;0;0;0;0;14555;3605;0;3605;10950;0;0;0;0;0;0;0;0;0;0;0;19805;0;;;;;;;;;;
проміжний;Івано-Франківська;Радикальна партія Олега Ляшка;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
остаточний;Івано-Франківська;Самопоміч;подано повний звіт (Додатки 1-6);2015-10-30;670048,67;61603,75;53000;0;0;784652,42;14300;0;0;0;0;0;770352,42;773984,42;133667,46;114079,86;18000;0;1587,6;0;593786,16;477689,6;384608;93081,6;116096,56;15380,8;0;0;0;0;15380,8;0;0;0;0;31150;773984,42;0;;;;;;;;;;
остаточний;Івано-Франківська;Українська Галицька Партія;подано повний звіт (Додатки 1-6);2015-10-30;66632;39300;13500;0;0;119432;0;0;0;0;0;0;119432;119386,15;43450;43450;0;0;0;0;56336,15;39261,15;29202,8;10058,35;17075;19600;0;0;0;0;19600;0;0;0;0;0;119386,15;0;;;;;;;;;;
остаточний;Івано-Франківська;УКРОП;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;1516280,85;0;0;0;0;1516280,85;0;0;0;0;0;0;1516280,85;1516280,85;418390,78;-1;-1;-1;-1;-1;782315,07;-1;-1;-1;-1;315575;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1516280,85;0;;;;;;;;;;
остаточний;Київська;Аграрна партія України;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-26;3550922,16;0;0;0;0;3550922,16;0;0;0;0;0;0;3550922,16;3550922,16;583941;-1;-1;-1;-1;-1;2913331,16;-1;-1;-1;-1;53650;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;3550922,16;0;;;;;;;;;;
остаточний;Київська;БПП Солідарність;подано повний звіт (Додатки 1-6);2016-01-26;383290;566733,62;944181,32;0;9440;1903644,94;9440;0;0;0;0;9440;1894204,94;1894204,94;791589,97;-1;0;-1;-1;-1;592131;-1;-1;-1;-1;257545,84;-1;-1;-1;-1;-1;-1;-1;-1;-1;234304,11;1875570,92;18634,02;;;;;;;;;;
проміжний;Київська;ВО Батьківщина;"подано неповний звіт (без додатків, ""розшифровок"")";2016-01-26;2616330;0;0;0;0;2616330;0;0;0;0;0;0;2616330;2616330;12858,4;-1;-1;-1;-1;-1;2601360;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;2614218,4;-1;;;;;;;;;;
остаточний;Київська;Громадянська позиція;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;0;59935;37670,01;0;972;98577,01;972;0;0;0;0;972;97605,01;97605,01;89305,01;-1;-1;-1;-1;-1;2700;-1;-1;-1;-1;5600;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;97605,01;0;;;;;;;;;;
остаточний;Київська;Наш край;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;1647704,73;0;0;0;0;1647704,73;0;0;0;0;0;0;1647704,73;1657368,46;922086,01;791903,21;6340;0;123842,8;0;472902,87;108280;104380;3900;364622,87;239537,85;20734;1820,85;0;600;216383;0;8478;0;8478;4700;1647704,73;9663,73;;;;;;;;;;
остаточний;Київська;Нові обличчя;подано повний звіт (Додатки 1-6);2015-10-31;5768228;34500;0;0;0;5802728;0;0;0;0;0;0;5802728;5802728;1555313;-1;-1;-1;-1;-1;4223858;-1;-1;-1;-1;8504;-1;-1;-1;-1;-1;-1;-1;-1;-1;15053;5802728;0;;;;;;;;;;
остаточний;Київська;Опозиційний блок;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;0;473790;14184,4;0;0;487974,4;0;0;0;0;0;0;487974,4;487974,4;160185,16;-1;-1;-1;-1;-1;109497,18;-1;-1;-1;-1;6960;-1;-1;-1;-1;-1;-1;-1;-1;-1;210820;487462,34;512,06;;;;;;;;;;
остаточний;Київська;Радикальна партія Олега Ляшка;"подано неповний звіт (без додатків, ""розшифровок"")";2016-01-26;0;75315;21020,28;0;0;96335,28;0;0;0;0;0;0;96335,28;60204;43604;-1;-1;-1;-1;-1;11600;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;5000;60204;0;;;;;;;;;;
остаточний;Київська;Самопоміч;подано повний звіт (Додатки 1-6);2015-10-29;403923,91;1790;108931;0;13780;528424,91;13780;0;0;0;0;13780;514644,91;514644,91;272843,4;192493,4;0;0;64980;15370;80401,49;34202;22352;11850;46199,49;161400;0;0;0;0;150000;11400;0;0;0;0;514644,89;0,02;;;;;;;;;;
остаточний;Київська;УКРОП;подано повний звіт (Додатки 1-6);2015-10-30;1200354,03;40400;4400;0;0;1245154,03;5200;0;0;0;0;5200;1239954,03;1239954,03;413776,2;410889,6;0;0;2886,6;0;26317,83;3450;0;3450;22867,83;0;0;0;0;0;0;0;0;0;0;799860;1239954,03;0;;;;;;;;;;
остаточний;Кіровоградська;Аграрна партія України;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;0;58710;1127,5;0;0;59837,5;0;0;0;0;0;0;59837,5;59837,5;29270;29270;0;0;0;0;29703,2;0;4635,7;0;25067,5;864,3;0;0;0;864,3;0;0;0;0;0;0;59837,5;0;;;;;;;;;;
остаточний;Кіровоградська;БПП Солідарність;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;58580;188794;156270,03;0;0;403644,03;0;2701,95;0;0;0;2701,95;400942,08;400942,08;199423,6;180248,6;0;0;19175;0;149911,18;16960,4;16240,4;720;132950,78;41607,3;0;450;4473,3;0;35676;0;1008;0;1008;10000;400942,08;0;;;;;;;;;;
остаточний;Кіровоградська;ВО Батьківщина;подано повний звіт (Додатки 1-6);2015-10-30;0;32069,5;111501,98;0;0;143571,48;0;0;0;0;0;0;143571,48;140610;38497;38497;0;0;0;0;95866,4;80948,4;76340,4;4608;14918;5650;0;700;0;0;4950;0;0;0;0;135;140148,4;461,6;;;;;;;;;;
остаточний;Кіровоградська;ВО Свобода;подано повний звіт (Додатки 1-6);2015-10-30;0;0;44016;0;0;44016;0;0;0;0;0;0;44016;44004,07;0;1160;0;0;0;0;39916,07;39916,07;28008,07;11908;0;0;0;0;0;0;0;0;0;0;0;0;41076,07;2928;;;;;;;;;;
остаточний;Кіровоградська;Народний контроль;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;0;54558,97;25048,32;0;12500;92107,29;0;0;12500;0;0;12500;79607,29;79607,29;2642,4;2642,4;0;0;0;0;74524,89;74524,89;74524,89;0;0;1440;0;0;0;1440;0;0;0;0;0;0;78607,29;0;;;;;;;;;;
остаточний;Кіровоградська;Наш край;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-28;0;35100;224740,68;0;0;259840,68;0;0;0;0;0;0;259840,68;259840,68;131353;128583;1470;0;0;1300;87736,08;12893,08;12773,08;120;74843;16951,6;0;0;300;2000;5147,6;0;0;0;9504;23800;259840,68;0;;;;;;;;;;
остаточний;Кіровоградська;Опозиційний блок;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;601000;42583,14;0;0;8937,2;652520,34;0;0;8937,2;0;0;8937,2;643583,14;643583,14;142210,8;92540,8;49670;0;0;0;494672,34;180189,14;180189,14;0;314483,2;6700;0;0;0;6700;0;0;0;0;0;0;643583,14;0;;;;;;;;;;
остаточний;Кіровоградська;Партія пенсіонерів України;подано повний звіт (Додатки 1-6);2015-10-30;0;0;27551;0;0;27551;0;0;0;0;0;0;27551;27551;23187;-1;-1;-1;-1;-1;3767;-1;-1;-1;-1;150;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;27104;447;;;;;;;;;;
остаточний;Кіровоградська;Самопоміч;подано повний звіт (Додатки 1-6);2015-11-03;34400;76014,01;11255;0;0;121669,01;-1;-1;-1;-1;-1;-1;121669,01;112392;77174;77174;0;0;0;0;19581,6;19581,6;19581,6;0;0;15344,22;8694,22;0;0;0;2000;4650;0;0;0;0;112099,82;292,18;;;;;;;;;;
остаточний;Кіровоградська;Соціалісти;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;0;0;2030;0;0;2030;0;0;0;0;0;0;2030;2030;1030;1030;-1;-1;-1;-1;0;0;0;0;0;1000;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;2030;0;;;;;;;;;;
остаточний;Кіровоградська;УКРОП;подано повний звіт (Додатки 1-6);2015-10-31;21000;22968;611;0;0;44579;0;0;0;0;0;0;44579;44579;13599,4;13599,4;0;0;0;0;24092;0;0;0;24092;0;0;0;0;0;0;0;0;0;0;6887,6;44579;0;;;;;;;;;;
остаточний;Львівська;БПП Солідарність;подано повний звіт (Додатки 1-6);2015-10-30;0;947915,08;97850;0;0;1045765,08;0;0;0;0;0;0;1045765,08;1045765,08;408229,39;408229,39;0;0;0;0;491359,6;114371,2;69476;44895,2;376988,4;30725,2;0;0;0;0;0;0;30725,2;1500;29225,2;115468;1045782,19;17,11;;;;;;;;;;
остаточний;Львівська;ВО Батьківщина;подано повний звіт (Додатки 1-6);2015-10-30;0;84610;0;0;0;84610;0;0;0;88,34;0;88,34;84610;84610;57509,25;57509,25;0;0;0;0;25726,4;0;11895;5670;8161,4;1286,01;0;0;0;1286,01;0;0;0;0;0;0;84521,66;88,34;;;;;;;;;;
остаточний;Львівська;ВО Свобода;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;493500;4330,4;42306,75;0;0;540137,15;0;0;0;0;0;0;540137,15;540137,15;69628;-1;-1;-1;-1;-1;436987;-1;-1;-1;-1;33522,15;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;540137,15;0;;;;;;;;;;
остаточний;Львівська;Воля;подано повний звіт (Додатки 1-6);2015-10-30;2078,48;37441;27030;0;0;66549,48;0;0;0;0;0;0;66549,48;66549,48;59330;59330;0;0;0;0;0;0;0;0;0;7160;0;0;0;200;6960;0;0;0;0;0;66490;59,48;;;;;;;;;;
остаточний;Львівська;Громадянська позиція;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;0;34548;106511,32;0;22000;163059,32;22000;0;0;631;0;22631;140428,32;140428,32;77499,88;-1;-1;-1;-1;-1;62872,82;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;140372,7;55,62;;;;;;;;;;
остаточний;Львівська;Народний контроль;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;156887;0;45937;0;0;202824;0;0;0;0;0;0;202824;202824;59175,09;-1;-1;-1;-1;-1;135102,38;-1;-1;-1;-1;8381,29;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;202658,76;165,24;;;;;;;;;;
остаточний;Львівська;Народний рух України;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;98700;625832;20927;0;0;745459;0;0;0;0;0;0;745459;745459;252860,99;-1;-1;-1;-1;-1;319977,42;-1;-1;-1;-1;20441,2;-1;-1;-1;-1;-1;-1;-1;-1;-1;152177,18;745456,79;2,21;;;;;;;;;;
остаточний;Львівська;Наш край;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;394700;684078,8;0;0;0;1078778,8;0;0;0;1916,9;0;0;1076861,9;1076800;344698,87;-1;-1;-1;-1;-1;731273,45;-1;-1;-1;-1;800;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1076772,32;27,68;;;;;;;;;;
остаточний;Львівська;Опозиційний блок;подано повний звіт (Додатки 1-6);2015-10-30;0;4608;0;0;0;4608;0;0;0;0;0;0;4608;4608;4608;4608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4608;0;;;;;;;;;;
остаточний;Львівська;Радикальна партія Олега Ляшка;подано повний звіт (Додатки 1-6);2016-01-26;0;0;116881,3;0;0;116881,3;0;175,66;0;0;0;175,66;116705,64;116881,3;32370;32370,3;0;0;0;0;84135,64;46077,84;44677,84;1400;38057,8;200;0;0;0;200;0;0;0;0;0;0;116705,64;175,66;;;;;;;;;;
остаточний;Львівська;Самопоміч;подано повний звіт (Додатки 1-6);2015-10-30;239400;0;0;0;0;239400;0;0;0;0;0;0;239400;238900;127889,69;-1;-1;-1;-1;-1;97537,75;-1;-1;-1;-1;902,4;-1;-1;-1;-1;-1;-1;-1;-1;-1;1784;228113,84;10786,16;;;;;;;;;;
остаточний;Львівська;Сила людей;подано повний звіт (Додатки 1-6);2015-10-31;149322,48;16050;0;0;0;165372,48;0;0;0;0;0;0;165372,48;165372,48;64644;64644;0;0;0;0;61868,48;35868,48;31449;4419,48;26000;0;0;0;0;0;0;0;0;0;0;38860;165372,48;0;;;;;;;;;;
остаточний;Львівська;Українська Галицька Партія;подано повний звіт (Додатки 1-6);2015-10-29;447034,16;19900;10000;0;0;476934,16;0;0;0;0;0;0;476934,16;476934,16;77980;77980;0;0;0;0;224902,16;141674,04;43072,2;98601,84;83228,12;1200;0;0;0;0;1200;0;0;0;0;172852;476934,16;0;;;;;;;;;;
остаточний;Львівська;УКРОП;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;1026625;0;0;0;0;1026625;0;0;0;0;0;0;1026625;1024451,75;528011,66;-1;-1;-1;-1;-1;329766,35;-1;-1;-1;-1;22433,74;-1;-1;-1;-1;-1;-1;-1;-1;-1;144240;1024451,75;0;;;;;;;;;;
остаточний;Миколаївська;БПП Солідарність;"подано неповний звіт (без додатків, ""розшифровок"")";2016-01-26;3238000;385866;16215;0;0;3640081;0;0;0;0;0;0;3640081;3639080,3;1617360,76;-1;-1;-1;-1;-1;1831138,94;-1;-1;-1;-1;148761,92;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;3597261,03;41819,27;;;;;;;;;;
остаточний;Миколаївська;Відродження;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;400500;0;130370;0;0;530870;0;0;0;0;0;0;530870;529770;39486,94;-1;-1;-1;-1;-1;427606,1;-1;-1;-1;-1;400;-1;-1;-1;-1;-1;-1;-1;-1;-1;62270;529763,04;6,96;;;;;;;;;;
остаточний;Миколаївська;ВО Батьківщина;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;0;118610,89;211569,85;0;0;330180,74;0;0;0;0;0;0;330180,74;330180,74;158469,64;-1;-1;-1;-1;-1;79586,99;-1;-1;-1;-1;92122;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;330178,63;2,11;;;;;;;;;;
остаточний;Миколаївська;Наш край;"подано неповний звіт (без додатків, ""розшифровок"")";2015-11-01;8216683;965169,95;16840;0;6550;9205242,95;0;0;6550;0;0;6550;9198692,95;9198691,45;510242,9;-1;-1;-1;-1;-1;8497443,37;-1;-1;-1;-1;32461,66;-1;-1;-1;-1;-1;-1;-1;-1;-1;158539,11;9198687,04;4,41;;;;;;;;;;
остаточний;Миколаївська;Нова держава;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-27;1008;0;71830;0;0;72838;0;0;0;0;0;0;72838;71315,4;2534,09;-1;-1;-1;-1;-1;49216,66;-1;-1;-1;-1;18934,4;-1;-1;-1;-1;-1;-1;-1;-1;-1;630;71315,15;0,25;;;;;;;;;;
остаточний;Миколаївська;Опозиційний блок;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;0;634828,1;74761;0;0;709589,1;0;0;0;0;0;0;709589,1;709589,1;478434,8;-1;-1;-1;-1;-1;210481,3;-1;-1;-1;-1;1120;-1;-1;-1;-1;-1;-1;-1;-1;-1;19482;709518,1;71;;;;;;;;;;
остаточний;Миколаївська;Партія простих людей Сергія Капліна;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;0;30150;0;0;400;30550;400;0;0;0;0;400;30150;29750;14949;-1;-1;-1;-1;-1;12091,74;-1;-1;-1;-1;2665,22;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;29705,96;44,04;;;;;;;;;;
остаточний;Миколаївська;УКРОП;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-27;62108,92;15920;3000;0;0;81028,92;0;0;0;0;0;0;81028,92;81028,92;2795;-1;-1;-1;-1;-1;24422,31;-1;-1;-1;-1;1000;-1;-1;-1;-1;-1;-1;-1;-1;-1;52808;81025,31;3,61;;;;;;;;;;
остаточний;Одеська;Аграрна партія України;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;441460,83;0;6480;0;0;447940,83;0;0;0;0;0;0;447940,83;447940,83;323744,68;-1;-1;-1;-1;-1;121612,15;-1;-1;-1;-1;2584;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;447940,83;0;;;;;;;;;;
остаточний;Одеська;БПП Солідарність;подано повний звіт (Додатки 1-6);2015-10-29;258000;1105277,97;759585,1;0;0;2122863,07;0;0;0;0;0;0;2122863,07;2122863,07;1124142,04;818850,73;0;0;114804;190487,31;325715,58;176349,44;147800,32;28549,12;149366,14;188243;0;20566;0;58369;0;0;109308;0;0;473900,49;2112001,11;10861,96;;;;;;;;;;
остаточний;Одеська;Відродження;"подано неповний звіт (без додатків, ""розшифровок"")";2015-11-01;17600;524721,96;806365;0;0;1348686,96;0;5100;0;0;0;5100;1343586,96;1343586,96;219275,4;-1;-1;-1;-1;-1;635189,88;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;488642;1343107,28;479,68;;;;;;;;;;
остаточний;Одеська;ВО Батьківщина;подано повний звіт (Додатки 1-6);2015-10-30;0;86696;47947,05;0;5500;140143,05;0;5500;0;0;0;5500;134643,05;134643,05;39171,91;36071,89;0;0;3100,02;0;93866,3;58591,8;58591,8;0;35274,5;1604,84;0;0;0;0;1604,84;0;0;0;0;0;134643,05;0;;;;;;;;;;
остаточний;Одеська;ВО Свобода;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;2530;0;0;0;0;2530;0;0;0;0;0;0;2530;2530;2530;2530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2530;0;;;;;;;;;;
остаточний;Одеська;Довіряй ділам;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;15000;229712,28;0;0;0;244712,28;0;0;0;0;0;0;244712,28;244712,28;96807,5;-1;-1;-1;-1;-1;0;0;0;0;0;147904,78;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;244712,28;0;;;;;;;;;;
остаточний;Одеська;Народна партія;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;0;12200;134944;0;0;147144;0;0;0;0;0;0;147144;147144;30984;-1;-1;-1;-1;-1;78120;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;38040;147144;1;;;;;;;;;;
остаточний;Одеська;Наш край;подано повний звіт (Додатки 1-6);2015-10-30;1355200;28000;0;0;0;1383200;0;0;0;0;0;0;1383200;1381200;334621,48;-1;-1;-1;-1;-1;500717,31;-1;-1;-1;-1;543410;-1;-1;-1;-1;-1;-1;-1;-1;-1;2200;1380948,79;251,21;;;;;;;;;;
